rank_score,scene_slug,tide,source_pack,status,stats_version,loop_vb,target_vb,over_target_vb,over_target_percent,blocking_vb,prefetch_overrun_vb,magic,encoding,pack_bytes,payload_bytes,upload_bytes,upload_rects,max_upload_bytes,max_upload_rects,xband_align4_bytes,xband_align4_rects,xband_align4_cap_hits,xband_align4_rect_pressure,max_xband_align4_bytes,max_xband_align4_rects,xband_align4_saved_percent,exact_upload_bytes,exact_upload_intervals,max_exact_upload_intervals,exact_upload_saved_percent,upload_ready_payload_bytes,upload_ready_payload_growth_percent,restore_bytes,restore_intervals,notes
31.56,johnny6,high,generated/ps1/foreground/JOHNNY6.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2832,2800,32,1.14,28,28,FGP3,pal4,402498,400778,3639040,123,614400,5,1642536,123,0,1.52,614400,5,54.86,1378438,14155,1762,62.12,1643520,310.08,462966,12514,candidate
31.56,johnny6,low,generated/ps1/foreground/JOHN6LOW.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2832,2800,32,1.14,28,28,FGP3,pal4,402498,400778,3639040,123,614400,5,1642536,123,0,1.52,614400,5,54.86,1378438,14155,1762,62.12,1643520,310.08,462966,12514,candidate
29.84,mary1,low,generated/ps1/foreground/MARY1LOW.FG2,measured,mary1-v072c-prefetch-relief,4860,4840,20,0.41,31,24,FGP3,pal4,1177975,1164115,21892480,1101,614400,6,4280832,1101,0,1.61,614400,6,80.45,1826530,110166,960,91.66,4289640,268.49,792544,91230,candidate
29.73,johnny1,high,generated/ps1/foreground/JOHNNY1.FG2,measured,johnny1-v072c-prefetch-relief,1974,1944,30,1.54,27,27,FGP3,pal4,448370,446058,4270720,167,614400,6,1959976,167,0,1.5,614400,6,54.11,1399488,19479,999,67.23,1961312,339.7,484016,17933,candidate
29.73,johnny1,low,generated/ps1/foreground/JOHN1LOW.FG2,measured,johnny1-v072c-prefetch-relief,1974,1944,30,1.54,27,27,FGP3,pal4,448370,446058,4270720,167,614400,6,1959976,167,0,1.5,614400,6,54.11,1399488,19479,999,67.23,1961312,339.7,484016,17933,candidate
22.57,visitor5,low,generated/ps1/foreground/VIST5LOW.FG2,measured,visitor5-v072-prefetch-relief,1112,1090,22,2.02,12,12,FGP2,pal4,354227,350523,9704320,317,614400,4,2396776,317,0,1.76,614400,4,75.3,1347682,27034,1126,86.11,2399312,584.49,1132064,21955,large upload-ready payload; needs compression/selective bands
21.81,visitor5,high,generated/ps1/foreground/VISITOR5.FG2,measured,visitor5-v072-prefetch-relief,1111,1090,21,1.93,12,12,FGP2,pal4,354227,350523,9704320,317,614400,4,2396776,317,0,1.76,614400,4,75.3,1347682,27034,1126,86.11,2399312,584.49,1132064,21955,large upload-ready payload; needs compression/selective bands
19.27,building1,high,generated/ps1/foreground/BUILDING1.FG2,measured,stale-top-v072b-current-refresh,794,778,16,2.06,21,21,FGP2,pal4,318131,315811,6606720,285,614400,4,2986456,285,0,2.71,614400,4,54.8,1302966,47078,960,80.28,2988736,846.37,1175200,33097,large upload-ready payload; needs compression/selective bands
18.72,building1,low,generated/ps1/foreground/BUIL1LOW.FG2,measured,stale-top-v072b-current-refresh,794,779,15,1.93,21,21,FGP2,pal4,318131,315811,6606720,285,614400,4,2986456,285,0,2.71,614400,4,54.8,1302966,47078,960,80.28,2988736,846.37,1175200,33097,large upload-ready payload; needs compression/selective bands
12.82,fishing3,high,generated/ps1/foreground/FISHING3.FG2,measured,compact-fgp3-v66-final-frame-hold,1960,1952,8,0.41,18,13,FGP3,pal4,724829,718093,11495680,646,614400,7,4208952,646,0,1.97,614400,7,63.39,1401250,67349,960,87.81,4214120,486.85,487854,54322,candidate
4.52,activity10,low,generated/ps1/foreground/ACTV10L.FG2,measured,activity10-johnny3-v072-prefetch-relief,1255,1256,-1,-0.08,17,4,FGP3,pal4,302878,297646,7596160,419,614400,6,2057288,419,0,1.64,614400,6,72.92,953160,33555,960,87.45,2060640,592.31,185914,20627,large upload-ready payload; needs compression/selective bands
4.23,fishing3,low,generated/ps1/foreground/FISH3LOW.FG2,measured,compact-fgp3-v66-final-frame-hold,1956,1954,2,0.10,6,6,FGP3,pal4,549622,544086,8997120,334,614400,4,3481480,334,0,1.25,614400,4,61.3,1191354,52455,960,86.76,3484152,540.37,359988,39955,large upload-ready payload; needs compression/selective bands
3.71,building7,high,generated/ps1/foreground/BUILDING7.FG2,measured,stale-layout-v072c-current-refresh,3132,3133,-1,-0.03,9,9,FGP3,pal4,668045,658745,13230720,737,614400,7,2757240,737,6,1.61,614400,7,79.16,1134678,63745,960,91.42,2763136,319.45,350182,50784,x-band rect cap pressure; needs selective bands
2.75,activity10,high,generated/ps1/foreground/ACTIVITY10.FG2,measured,activity10-johnny3-v072-prefetch-relief,1259,1259,0,0.00,7,4,FGP3,pal4,280883,275651,6675840,511,614400,7,1649440,511,0,2.0,614400,7,75.29,940902,30953,960,85.91,1653528,499.86,181652,20129,candidate
2.75,activity12,high,generated/ps1/foreground/ACTIVITY12.FG2,measured,activity11-12-v072c-prefetch-relief,1411,1412,-1,-0.07,7,7,FGP3,pal4,338314,333162,7196160,558,614400,8,1822688,558,0,2.22,614400,8,74.67,970898,38405,960,86.51,1827152,448.43,204028,26578,candidate
2.55,activity12,low,generated/ps1/foreground/ACTV12L.FG2,measured,activity11-12-v072c-prefetch-relief,1409,1411,-2,-0.14,10,6,FGP3,pal4,363249,358097,8222720,452,614400,7,2278672,452,0,1.8,614400,7,72.29,983438,41295,960,88.04,2282288,537.34,206474,26997,large upload-ready payload; needs compression/selective bands
2.35,building5,low,generated/ps1/foreground/BUIL5LOW.FG2,measured,building5-fgp3-padded-v080,3345,3347,-2,-0.06,8,8,FGP3,pal4,818670,592755,12237440,855,614400,7,2132168,855,5,1.81,614400,7,82.58,1017160,57882,960,91.69,2139008,260.86,277730,46301,x-band rect cap pressure; needs selective bands
1.85,johnny3,high,generated/ps1/foreground/JOHNNY3.FG2,measured,activity10-johnny3-v072-prefetch-relief,1158,1161,-3,-0.26,10,6,FGP3,pal4,321686,317406,6321920,425,614400,7,1786472,425,1,2.03,614400,7,71.74,986680,28251,1184,84.39,1789872,463.91,224596,22573,x-band rect cap pressure; needs selective bands
1.57,fishing2,high,generated/ps1/foreground/FISHING2.FG2,measured,stale-next-v072c-current-refresh,1761,1763,-2,-0.11,6,6,FGP3,pal4,542743,536735,9482880,622,614400,7,2721480,622,0,2.12,614400,7,71.3,1121038,49744,960,88.18,2726456,407.97,333876,41918,candidate
1.28,activity4,high,generated/ps1/foreground/ACTIVITY4.FG2,measured,activity4-fishing4-v072c-prefetch-relief,1065,1066,-1,-0.09,4,4,FGP3,pal4,295098,291214,5535360,355,614400,4,1533264,355,0,1.88,614400,4,72.3,903744,27059,960,83.67,1536104,427.48,184546,22782,candidate
1.13,building7,low,generated/ps1/foreground/BUIL7LOW.FG2,measured,stale-layout-v072c-current-refresh,3130,3133,-3,-0.10,7,7,FGP3,pal4,668045,658745,13230720,737,614400,7,2757240,737,6,1.61,614400,7,79.16,1134678,63745,960,91.42,2763136,319.45,350182,50784,x-band rect cap pressure; needs selective bands
0.77,activity6,high,generated/ps1/foreground/ACTIVITY6.FG2,measured,stale-zero-v072b-current-refresh,912,911,1,0.11,0,0,FGP2,pal4,170404,168196,6246400,194,614400,6,1443176,194,0,1.85,614400,6,76.9,1036328,11922,960,83.41,1444728,758.96,993872,10729,large upload-ready payload; needs compression/selective bands
0.77,activity6,low,generated/ps1/foreground/ACTV6LOW.FG2,measured,stale-zero-v072b-current-refresh,912,911,1,0.11,0,0,FGP2,pal4,170404,168196,6246400,194,614400,6,1443176,194,0,1.85,614400,6,76.9,1036328,11922,960,83.41,1444728,758.96,993872,10729,large upload-ready payload; needs compression/selective bands
0.63,stand16,high,generated/ps1/foreground/STAND16.FG2,measured,stale-zero2-v072b-current-refresh,473,472,1,0.21,0,0,FGP2,pal4,51975,51175,2228480,38,614400,4,818656,38,0,1.06,614400,4,63.26,725290,4140,960,67.45,818960,1500.31,718382,4179,large upload-ready payload; needs compression/selective bands
0.63,stand16,low,generated/ps1/foreground/STND16L.FG2,measured,stale-zero2-v072b-current-refresh,473,472,1,0.21,0,0,FGP2,pal4,51975,51175,2228480,38,614400,4,818656,38,0,1.06,614400,4,63.26,725290,4140,960,67.45,818960,1500.31,718382,4179,large upload-ready payload; needs compression/selective bands
0.0,mary3,high,generated/ps1/foreground/MARY3.FG2,measured,compact-fgp3-v2-fullmatrix,0,0,,,0,0,FGP2,pal4,609063,603799,13968000,294,614400,4,7330288,294,0,1.15,614400,4,47.52,1855976,36778,960,86.71,7332640,1114.42,1713844,34296,large upload-ready payload; needs compression/selective bands
0.0,mary3,low,generated/ps1/foreground/MARY3LOW.FG2,measured,compact-fgp3-v2-fullmatrix,0,0,,,0,0,FGP2,pal4,609063,603799,13968000,294,614400,4,7330288,294,0,1.15,614400,4,47.52,1855976,36778,960,86.71,7332640,1114.42,1713844,34296,large upload-ready payload; needs compression/selective bands
